Product,Land,Sugarcane,Straw,Sugar,Molasses,Filter Cake,Bagasse,Ethanol 1G,Ethanol 2G,Vinasse,Electricity,Biomethane,Hydrogen,Bio oil,SAF,Green diesel,Bio Gasoline,Methanol,Biochar,CO2,Carbon credit
Price - Scenario 45,0,29.03,0,581,290,0,0,0.716,1.432,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 46,0,28.41,0,568,284,0,0,0.711,1.421,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 47,0,26.11,0,522,261,0,0,0.761,1.522,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 48,0,25.68,0,514,257,0,0,0.605,1.21,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 49,0,25.45,0,509,255,0,0,0.568,1.136,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 50,0,27.57,0,551,276,0,0,0.576,1.152,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 51,0,26.26,0,525,263,0,0,0.594,1.189,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 52,0,23.28,0,466,233,0,0,0.576,1.152,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 53,0,21.8,0,436,218,0,0,0.56,1.12,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 54,0,23.16,0,463,232,0,0,0.542,1.083,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 55,0,25.24,0,505,252,0,0,0.666,1.331,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 56,0,22.61,0,452,226,0,0,0.684,1.368,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 57,0,22.51,0,450,225,0,0,0.626,1.252,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 58,0,21.38,0,428,214,0,0,0.637,1.273,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 59,0,21.36,0,427,214,0,0,0.629,1.257,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 60,0,21.61,0,432,216,0,0,0.605,1.21,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 61,0,20.77,0,415,208,0,0,0.61,1.22,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 62,0,20.27,0,405,203,0,0,0.63,1.26,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 63,0,19.47,0,389,195,0,0,0.672,1.344,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 64,0,19.48,0,390,195,0,0,0.656,1.313,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 65,0,18.24,0,365,182,0,0,0.705,1.411,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 66,0,18.06,0,361,181,0,0,0.678,1.356,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 67,0,18.71,0,374,187,0,0,0.645,1.289,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 68,0,18.01,0,360,180,0,0,0.63,1.259,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 69,0,19.27,0,385,193,0,0,0.642,1.285,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 70,0,20.19,0,404,202,0,0,0.534,1.068,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 71,0,18.9,0,378,189,0,0,0.564,1.127,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 72,0,18.09,0,362,181,0,0,0.607,1.215,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 73,0,17.14,0,343,171,0,0,0.537,1.074,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 74,0,18.16,0,363,182,0,0,0.534,1.067,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 75,0,19.59,0,392,196,0,0,0.743,1.486,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 76,0,19,0,380,190,0,0,0.711,1.421,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 77,0,19.16,0,383,192,0,0,0.604,1.209,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 78,0,18.32,0,366,183,0,0,0.575,1.149,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 79,0,18.14,0,363,181,0,0,0.57,1.14,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 80,0,17.07,0,341,171,0,0,0.589,1.178,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 81,0,17.06,0,341,171,0,0,0.486,0.972,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 82,0,17.68,0,354,177,0,0,0.441,0.882,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 83,0,17.19,0,344,172,0,0,0.615,1.231,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 84,0,16.01,0,320,160,0,0,0.513,1.026,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 85,0,16.3,0,326,163,0,0,0.37,0.74,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 86,0,15.36,0,307,154,0,0,0.364,0.728,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 87,0,13.15,0,263,132,0,0,0.383,0.766,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 88,0,14.31,0,286,143,0,0,0.417,0.835,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 89,0,13.21,0,264,132,0,0,0.43,0.86,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 90,0,13.54,0,271,135,0,0,0.4,0.8,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 91,0,12.28,0,246,123,0,0,0.412,0.823,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 92,0,11.78,0,236,118,0,0,0.387,0.773,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 93,0,13.42,0,268,134,0,0,0.402,0.803,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 94,0,16.01,0,320,160,0,0,0.413,0.825,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 95,0,16.46,0,329,165,0,0,0.398,0.795,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 96,0,16.8,0,336,168,0,0,0.38,0.76,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 97,0,14.48,0,290,145,0,0,0.352,0.704,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 98,0,16.05,0,321,160,0,0,0.367,0.734,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 99,0,16.92,0,338,169,0,0,0.362,0.724,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 100,0,17.81,0,356,178,0,0,0.402,0.804,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 101,1,19.28,1,386,193,0,0,0.413,0.827,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 102,2,22.21,2,444,222,0,0,0.435,0.869,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 103,3,21,3,420,210,0,0,0.402,0.805,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 104,4,22.11,4,442,221,0,0,0.378,0.756,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 105,5,24.84,5,497,248,0,0,0.408,0.816,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 106,6,23.78,6,476,238,0,0,0.429,0.859,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 107,7,21.84,7,437,218,0,0,0.43,0.86,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 108,8,21.51,8,430,215,0,0,0.462,0.924,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 109,9,22.54,9,451,225,0,0,0.389,0.777,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 110,10,21.29,10,426,213,0,0,0.399,0.798,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 111,11,18.47,11,369,185,0,0,0.395,0.789,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 112,12,17.68,12,354,177,0,0,0.426,0.853,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 113,13,16.39,13,328,164,0,0,0.387,0.773,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 114,14,15.08,14,302,151,0,0,0.4,0.799,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 115,15,16.44,15,329,164,0,0,0.402,0.804,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 116,16,15.87,16,317,159,0,0,0.41,0.82,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 117,17,14.93,17,299,149,0,0,0.414,0.828,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 118,18,16.25,18,325,162,0,0,0.376,0.753,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 119,19,16.62,19,332,166,0,0,0.371,0.742,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 120,20,16.71,20,334,167,0,0,0.342,0.685,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 121,21,14.58,21,292,146,0,0,0.344,0.689,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 122,22,14.86,22,297,149,0,0,0.381,0.762,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 123,23,13.61,23,272,136,0,0,0.385,0.771,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 124,24,12.7,24,254,127,0,0,0.387,0.773,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 125,25,14.1,25,282,141,0,0,0.386,0.771,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 126,26,13.07,26,261,131,0,0,0.373,0.746,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 127,27,11.63,27,233,116,0,0,0.376,0.752,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 128,28,11.68,28,234,117,0,0,0.359,0.719,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 129,29,11.49,29,230,115,0,0,0.338,0.675,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 130,30,14.54,30,291,145,0,0,0.338,0.676,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 131,31,14.15,31,283,142,0,0,0.327,0.653,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 132,32,13.26,32,265,133,0,0,0.32,0.641,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 133,33,14.03,33,281,140,0,0,0.334,0.668,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 134,34,14.03,34,281,140,0,0,0.352,0.704,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 135,35,13.81,35,276,138,0,0,0.359,0.719,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 136,36,13.22,36,264,132,0,0,0.349,0.698,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 137,37,13.34,37,267,133,0,0,0.361,0.722,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 138,38,13.58,38,272,136,0,0,0.408,0.816,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 139,39,13.46,39,269,135,0,0,0.395,0.79,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 140,40,12.28,40,246,123,0,0,0.36,0.72,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 141,41,13.14,41,263,131,0,0,0.366,0.732,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 142,42,13.76,42,275,138,0,0,0.413,0.827,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 143,43,14.26,43,285,143,0,0,0.411,0.822,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 144,44,14.79,44,296,148,0,0,0.374,0.748,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 145,45,16.1,45,322,161,0,0,0.345,0.689,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 146,46,15.94,46,319,159,0,0,0.351,0.703,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 147,47,11.49,47,230,115,0,0,0.284,0.568,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 148,48,11.45,48,229,115,0,0,0.295,0.59,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 149,49,12.03,49,241,120,0,0,0.295,0.59,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 150,50,13.05,50,261,131,0,0,0.336,0.673,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 151,51,13.93,51,279,139,0,0,0.365,0.731,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 152,52,13.96,52,279,140,0,0,0.342,0.683,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 153,53,14.41,53,288,144,0,0,0.376,0.752,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 154,54,15.83,54,317,158,0,0,0.392,0.785,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 155,55,15.99,55,320,160,0,0,0.384,0.767,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 156,56,17.07,56,341,171,0,0,0.353,0.705,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 157,57,17.45,57,349,174,0,0,0.414,0.829,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 158,58,19.32,58,386,193,0,0,0.451,0.902,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 159,59,16.28,59,326,163,0,0,0.483,0.965,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 160,60,19.22,60,384,192,0,0,0.56,1.119,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 161,61,19.14,61,383,191,0,0,0.671,1.342,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 162,62,19.43,62,389,194,0,0,0.629,1.257,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 163,63,19.74,63,395,197,0,0,0.589,1.178,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 164,64,21.87,64,437,219,0,0,0.594,1.187,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 165,65,21.86,65,437,219,0,0,0.637,1.274,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 166,66,21.24,66,425,212,0,0,0.687,1.374,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 167,67,20.5,67,410,205,0,0,0.9,1.799,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 168,68,20.81,68,416,208,0,0,0.793,1.585,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 169,69,20.08,69,402,201,0,0,0.571,1.141,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 170,70,19.84,70,397,198,0,0,0.57,1.14,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 171,71,21.48,71,430,215,0,0,0.652,1.304,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 172,72,21.33,72,427,213,0,0,0.696,1.393,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 173,73,21.38,73,428,214,0,0,0.728,1.456,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 174,74,20.76,74,415,208,0,0,0.737,1.474,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 175,75,19.33,75,387,193,0,0,0.665,1.331,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 176,76,19.72,76,394,197,0,0,0.673,1.346,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 177,77,20.3,77,406,203,0,0,0.645,1.291,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 178,78,19.81,78,396,198,0,0,0.651,1.302,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 179,79,21.64,79,433,216,0,0,0.681,1.363,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 180,80,22.09,80,442,221,0,0,0.582,1.164,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 181,81,23.99,81,480,240,0,0,0.579,1.158,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 182,82,24.34,82,487,243,0,0,0.574,1.148,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 183,83,24.53,83,491,245,0,0,0.593,1.185,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 184,84,29.75,84,595,298,0,0,0.64,1.28,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 185,85,27.62,85,552,276,0,0,0.644,1.288,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 186,86,25.23,86,505,252,0,0,0.662,1.325,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 187,87,26.58,87,532,266,0,0,0.645,1.291,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 188,88,27.62,88,552,276,0,0,0.572,1.144,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 189,89,28.96,89,579,290,0,0,0.622,1.243,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 190,90,29.86,90,597,299,0,0,0.6,1.2,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 191,91,28.7,91,574,287,0,0,0.492,0.984,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 192,92,22.69,92,454,227,0,0,0.441,0.882,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 193,93,26.6,93,532,266,0,0,0.42,0.84,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 194,94,24.89,94,498,249,0,0,0.397,0.794,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 195,95,24.82,95,496,248,0,0,0.417,0.834,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 196,96,21.4,96,428,214,0,0,0.437,0.874,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 197,97,20.17,97,403,202,0,0,0.471,0.942,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 198,98,22.39,98,448,224,0,0,0.51,1.02,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 199,99,20.88,99,418,209,0,0,0.503,1.005,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
Price - Scenario 200,100,21.36,100,427,214,0,0,0.482,0.965,0,40,0.4,1500,500,1.85,1.7,1.6,400,1000,0,30
